Title,Abstract,Tiebreak,Tiebreaker,,
Development of dialogue and voice-call robot system for personalized dementia prevention and care,"Purpose The looming challenge of dementia, exacerbated by demographic shifts and an aging global population, places immense strain on society and our healthcare infrastructure. It is desirable for societies around the world to conquer this problem by developing effective care technologies for dementia patients and caregivers, as well as providing strategies for dementia prevention. In this project, we propose a robot system that is the basis for generating a method for effective communication with dementia patients and caregivers regarding dementia based on the aggregated diagnostic and living data of dementia patients. Method The system aims to integrate diagnostic and daily living data and the use of a robot. The output is a dialogue that is effective for helping the user to care about their health status. The data analysis/processing methods are constructed in two steps. In the first step, a table of effective robot dialogues for each user's diagnostic and living data is created in advance. Using the METIS Platform (Stock, 2022), we are able to integrate biometric data from wearable devices within the Internet of Medical Things (IoMT) along with supplementary patient-reported information, data-driven capabilities. In this study, as a method for establishing the needed dialogue capabilities, a scenario-based dialogue (Kumagai et al., 2022) has been adapted. In a scenario-based dialogue, the robot's utterances are designed so that a conversation can be established, regardless of the content of the user's responses. To create the lookup table, an appropriate dialogue theme depending on the user's state is determined in advance. This table allows the robot to generate simple utterances that are tailored to the user's status. In the second step, the robot conversation content is generated based on the user's data (diagnosis data and biometric data) by Chat GPT. Even if two users’ states are the same, from the perspective of getting the user to accept the robot's voice, the appropriate contents of the robot's utterances are assumed to differ depending on the individual user. For example, it may be necessary to consider how to directly point out the user's status, or whether to indirectly recommend appropriate actions. In our previous research, we used neural networks and reinforcement learning techniques to develop systems that individualize the parameterized robot's behavior by adjusting the parameters to individual users (Kumagai et al., 2018). In this project, we will use a similar approach to generate personalized robot dialogues for each user, based on both generalized knowledge and individual data. Feedback on the user's affective reactions to the robot's speech is thought to help personalize the way of the robot's speech. Results and Discussion This presentation will show the results of a simple survey to examine the robot's speech generated by the system we have built and the impressions of users’ dialogues with the robot. We also discuss challenges in connecting to robots. © (2024), (International Society for Gerontechnology). All rights reserved.",II,Anton,,
Performance Assessment of Large Language Models in Medical Consultation: Comparative Study,"Background: The recent introduction of generative artificial intelligence (AI) as an interactive consultant has sparked interest in evaluating its applicability in medical discussions and consultations, particularly within the domain of depression. Objective: This study evaluates the capability of large language models (LLMs) in AI to generate responses to depression-related queries. Methods: Using the PubMedQA and QuoraQA data sets, we compared various LLMs, including BioGPT, PMC-LLaMA, GPT-3.5, and Llama2, and measured the similarity between the generated and original answers. Results: The latest general LLMs, GPT-3.5 and Llama2, exhibited superior performance, particularly in generating responses to medical inquiries from the PubMedQA data set. Conclusions: Considering the rapid advancements in LLM development in recent years, it is hypothesized that version upgrades of general LLMs offer greater potential for enhancing their ability to generate “knowledge text” in the biomedical domain compared with fine-tuning for the biomedical field. These findings are expected to contribute significantly to the evolution of AI-based medical counseling systems. © 2025 JMIR Publications Inc.. All rights reserved.",II,Anton,,
ChatGPT efficacy for answering musculoskeletal anatomy questions: a study evaluating quality and consistency between raters and timepoints,"Purpose: There is increasing interest in the use of digital platforms such as ChatGPT for anatomy education. This study aims to evaluate the efficacy of ChatGPT in providing accurate and consistent responses to questions focusing on musculoskeletal anatomy across various time points (hours and days). Methods: A selection of 6 Anatomy-related questions were asked to ChatGPT 3.5 in 4 different timepoints. All answers were rated blindly by 3 expert raters for quality according to a 5 -point Likert Scale. Difference of 0 or 1 points in Likert scale scores between raters was considered as agreement and between different timepoints was considered as consistent indicating good reproducibility. Results: There was significant variation in the quality of the answers ranging from extremely good to very poor quality. There was also variation of consistency levels between different timepoints. Answers were rated as good quality (≥ 3 in Likert scale) in 50% of cases (3/6) and as consistent in 66.6% (4/6) of cases. In the low-quality answers, significant mistakes, conflicting data or lack of information were encountered. Conclusion: As of the time of this article, the quality and consistency of the ChatGPT v3.5 answers is variable, thus limiting its utility as independent and reliable resource of learning musculoskeletal anatomy. Validating information by reviewing the anatomical literature is highly recommended. © The Author(s), under exclusive licence to Springer-Verlag France SAS, part of Springer Nature 2024.",III,Robert,,Anton cannot participate
A pilot study on the efficacy of GPT-4 in providing orthopedic treatment recommendations from MRI reports,"754. Sci Rep. 2023 Nov 17;13(1):20159. doi: 10.1038/s41598-023-47500-2.

A pilot study on the efficacy of GPT-4 in providing orthopedic treatment 
recommendations from MRI reports.

Truhn D(1), Weber CD(2), Braun BJ(3), Bressem K(4), Kather JN(5)(6)(7)(8), Kuhl 
C(1), Nebelung S(9).

Author information:
(1)Department of Diagnostic and Interventional Radiology, University Hospital 
RWTH Aachen, Pauwels Street 30, 52074, Aachen, Germany.
(2)Department of Orthopaedics and Trauma Surgery, University Hospital RWTH 
Aachen, Aachen, Germany.
(3)University Hospital Tuebingen on Behalf of the Eberhard-Karls-University 
Tuebingen, BG Hospital, Schnarrenbergstr. 95, Tübingen, Germany.
(4)Department of Radiology, Charité - Universitätsmedizin Berlin, corporate 
member of Freie Universität Berlin and Humboldt-Universität zu Berlin, 
Hindenburgdamm 30, 12203, Berlin, Germany.
(5)Else Kroener Fresenius Center for Digital Health, Technical University 
Dresden, Dresden, Germany.
(6)Department of Medicine I, University Hospital Dresden, Dresden, Germany.
(7)Department of Medicine III, University Hospital RWTH Aachen, Aachen, Germany.
(8)Medical Oncology, National Center for Tumor Diseases (NCT), University 
Hospital Heidelberg, Heidelberg, Germany.
(9)Department of Diagnostic and Interventional Radiology, University Hospital 
RWTH Aachen, Pauwels Street 30, 52074, Aachen, Germany. snebelung@ukaachen.de.

Erratum in
    Sci Rep. 2024 Mar 5;14(1):5431. doi: 10.1038/s41598-024-56029-x.

Large language models (LLMs) have shown potential in various applications, 
including clinical practice. However, their accuracy and utility in providing 
treatment recommendations for orthopedic conditions remain to be investigated. 
Thus, this pilot study aims to evaluate the validity of treatment 
recommendations generated by GPT-4 for common knee and shoulder orthopedic 
conditions using anonymized clinical MRI reports. A retrospective analysis was 
conducted using 20 anonymized clinical MRI reports, with varying severity and 
complexity. Treatment recommendations were elicited from GPT-4 and evaluated by 
two board-certified specialty-trained senior orthopedic surgeons. Their 
evaluation focused on semiquantitative gradings of accuracy and clinical utility 
and potential limitations of the LLM-generated recommendations. GPT-4 provided 
treatment recommendations for 20 patients (mean age, 50 years ± 19 [standard 
deviation]; 12 men) with acute and chronic knee and shoulder conditions. The LLM 
produced largely accurate and clinically useful recommendations. However, 
limited awareness of a patient's overall situation, a tendency to incorrectly 
appreciate treatment urgency, and largely schematic and unspecific treatment 
recommendations were observed and may reduce its clinical usefulness. In 
conclusion, LLM-based treatment recommendations are largely adequate and not 
prone to 'hallucinations', yet inadequate in particular situations. Critical 
guidance by healthcare professionals is obligatory, and independent use by 
patients is discouraged, given the dependency on precise data input.

© 2023. The Author(s).",I,Robert,,Anton cannot participate
Comparative analysis of diabetes diagnosis: WE-LSTM networks and WizardLM-powered DiabeTalk chatbot,"Diabetes is a chronic metabolic disorder characterized by elevated blood glucose levels due to insufficient insulin production or insulin resistance. It primarily manifests in two forms: Type 1 diabetes, an autoimmune condition typically diagnosed in younger individuals, and Type 2 diabetes, which is more prevalent and often linked to lifestyle factors such as obesity and inactivity. This study evaluates the performance of Long Short-Term Memory networks in diagnosing the two types of diabetes from Italian medical text across four progressively refined pre-processing scenarios. Each scenario incrementally builds on the previous one to enhance text cleaning and data preparation, allowing for a more refined and effective data processing pipeline. In parallel, this study introduces DiabeTalk, a chatbot developed on the WizardLM model, designed to provide specialized advice and support for diabetes diagnosis. While the WE-long short term memory models were fine-tuned with clinical data, DiabeTalk was tested without prior training on clinical diaries, allowing us to evaluate its performance in a real-world context. The results indicate that, despite the lack of domain-specific pre-training, DiabeTalk effectively employs natural language understanding and decision-making algorithms to predict diabetes type and respond to user inquiries. However, the testing revealed limitations in accuracy (77.56% versus 97.80%), with the chatbot achieving a lower performance than the WE-long short term memory model, which was applied to minimally pre-processed raw data. The findings underscore the importance of training large language models on relevant clinical datasets to enhance their response capabilities. © 2024 IEEE.",III,Robert,,Anton cannot participate
Expert evaluation of large language models for clinical dialogue summarization,"We assessed the performance of large language models' summarizing clinical dialogues using computational metrics and human evaluations. The comparison was done between automatically generated and human-produced summaries. We conducted an exploratory evaluation of five language models: one general summarisation model, one fine-tuned for general dialogues, two fine-tuned with anonymized clinical dialogues, and one Large Language Model (ChatGPT). These models were assessed using ROUGE, UniEval metrics, and expert human evaluation was done by clinicians comparing the generated summaries against a clinician generated summary (gold standard). The fine-tuned transformer model scored the highest when evaluated with ROUGE, while ChatGPT scored the lowest overall. However, using UniEval, ChatGPT scored the highest across all the evaluated domains (coherence 0.957, consistency 0.7583, fluency 0.947, and relevance 0.947 and overall score 0.9891). Similar results were obtained when the systems were evaluated by clinicians, with ChatGPT scoring the highest in four domains (coherency 0.573, consistency 0.908, fluency 0.96 and overall clinical use 0.862). Statistical analyses showed differences between ChatGPT and human summaries vs. all other models. These exploratory results indicate that ChatGPT's performance in summarizing clinical dialogues approached the quality of human summaries. The study also found that the ROUGE metrics may not be reliable for evaluating clinical summary generation, whereas UniEval correlated well with human ratings. Large language models may provide a successful path for automating clinical dialogue summarization. Privacy concerns and the restricted nature of health records remain challenges for its integration. Further evaluations using diverse clinical dialogues and multiple initialization seeds are needed to verify the reliability and generalizability of automatically generated summaries.",I,Anton,"This is exactly ""Evaluations performed on real, never-before-seen patient data"" as they have 27 real cases, so data is prospectively collected I would say, so I.",
"Breaking Bones, Breaking Barriers: ChatGPT, DeepSeek, and Gemini in Hand Fracture Management","Background: Hand fracture management requires precise diagnostic accuracy and complex decision-making. Advances in artificial intelligence (AI) suggest that large language models (LLMs) may assist or even rival traditional clinical approaches. This study evaluates the effectiveness of ChatGPT-4o, DeepSeek-V3, and Gemini 1.5 in diagnosing and recommending treatment strategies for hand fractures compared to experienced surgeons. Methods: A retrospective analysis of 58 anonymized hand fracture cases was conducted. Clinical details, including fracture site, displacement, and soft-tissue involvement, were provided to the AI models, which generated management plans. Their recommendations were compared to actual surgeon decisions, assessing accuracy, precision, recall, and F1 score. Results: ChatGPT-4o demonstrated the highest accuracy (98.28%) and recall (91.74%), effectively identifying most correct interventions but occasionally proposing extraneous options (precision 58.48%). DeepSeek-V3 showed moderate accuracy (63.79%), with balanced precision (61.17%) and recall (57.89%), sometimes omitting correct treatments. Gemini 1.5 performed poorly (accuracy 18.97%), with low precision and recall, indicating substantial limitations in clinical decision support. Conclusions: AI models can enhance clinical workflows, particularly in radiographic interpretation and triage, but their limitations highlight the irreplaceable role of human expertise in complex hand trauma management. ChatGPT-4o demonstrated promising accuracy but requires refinement. Ethical concerns regarding AI-driven medical decisions, including bias and transparency, must be addressed before widespread clinical implementation. © 2025 by the authors.",I,Robert,,Anton cannot participate in tiebreak (one of reviewers)
Artificial Intelligence Promotes the Dunning Kruger Effect: Evaluating ChatGPT Answers to Frequently Asked Questions about Adolescent Idiopathic Scoliosis,"Introduction:Patients have long turned to the Internet for answers to common medical questions. As the ability to access information evolves beyond standard search engines, patients with adolescent idiopathic scoliosis (AIS) and their parents may use artificial intelligence chatbots such as ChatGPT as a new source of information.Methods:Ten frequently asked questions regarding AIS were posed to ChatGPT. The accuracy and adequacy of the responses were graded as excellent not requiring clarification, satisfactory requiring minimal clarification, satisfactory requiring moderate clarification, and unsatisfactory requiring substantial clarification.Results:ChatGPT gave one response that was excellent not requiring clarification, four responses that were satisfactory requiring minimal clarification, three responses that were satisfactory requiring moderate clarification, and two responses that were unsatisfactory requiring substantial clarification, with information about higher level, more complex areas of discussion such as surgical options being less accurate.Conclusion:ChatGPT provides answers to FAQs about AIS that were generally accurate, although correction was needed on specific surgical treatments. Patients may be at risk of developing a Dunning-Kruger effect by proxy from the superficial and sometimes inaccurate information provided by ChatGPT on more complex aspects of AIS. © American Academy of Orthopaedic Surgeons.",II,Anton,There wasn't a disagreement here lmao. One reviewer for got to capitalize the II (Ii) so the == gave an no..,
Large language models outperform mental and medical health care professionals in identifying obsessive-compulsive disorder,"Despite the promising capacity of large language model (LLM)-powered chatbots to diagnose diseases, they have not been tested for obsessive-compulsive disorder (OCD). We assessed the diagnostic accuracy of LLMs in OCD using vignettes and found that LLMs outperformed medical and mental health professionals. This highlights the potential benefit of LLMs in assisting in the timely and accurate diagnosis of OCD, which usually entails a long delay in diagnosis and treatment. © The Author(s) 2024.",II,Anton,"The task is real - diagnosis. So I fully agree with Eunice (as long as data is simulated, which it seems to be); disagree with Vivian saying it's fake task.",
The Large Language Model ChatGPT-4 Exhibits Excellent Triage Capabilities and Diagnostic Performance for Patients Presenting With Various Causes of Knee Pain,"Purpose: To provide a proof-of-concept analysis of the appropriateness and performance of ChatGPT-4 to triage, synthesize differential diagnoses, and generate treatment plans concerning common presentations of knee pain. Methods: Twenty knee complaints warranting triage and expanded scenarios were input into ChatGPT-4, with memory cleared prior to each new input to mitigate bias. For the 10 triage complaints, ChatGPT-4 was asked to generate a differential diagnosis that was graded for accuracy and suitability in comparison to a differential created by 2 orthopaedic sports medicine physicians. For the 10 clinical scenarios, ChatGPT-4 was prompted to provide treatment guidance for the patient, which was again graded. To test the higher-order capabilities of ChatGPT-4, further inquiry into these specific management recommendations was performed and graded. Results: All ChatGPT-4 diagnoses were deemed appropriate within the spectrum of potential pathologies on a differential. The top diagnosis on the differential was identical between surgeons and ChatGPT-4 for 70% of scenarios, and the top diagnosis provided by the surgeon appeared as either the first or second diagnosis in 90% of scenarios. Overall, 16 of 30 diagnoses (53.3%) in the differential were identical. When provided with 10 expanded vignettes with a single diagnosis, the accuracy of ChatGPT-4 increased to 100%, with the suitability of management graded as appropriate in 90% of cases. Specific information pertaining to conservative management, surgical approaches, and related treatments was appropriate and accurate in 100% of cases. Conclusions: ChatGPT-4 provided clinically reasonable diagnoses to triage patient complaints of knee pain due to various underlying conditions that were generally consistent with differentials provided by sports medicine physicians. Diagnostic performance was enhanced when providing additional information, allowing ChatGPT-4 to reach high predictive accuracy for recommendations concerning management and treatment options. However, ChatGPT-4 may show clinically important error rates for diagnosis depending on prompting strategy and information provided; therefore, further refinements are necessary prior to implementation into clinical workflows. Clinical Relevance: Although ChatGPT-4 is increasingly being used by patients for health information, the potential for ChatGPT-4 to serve as a clinical support tool is unclear. In this study, we found that ChatGPT-4 was frequently able to diagnose and triage knee complaints appropriately as rated by sports medicine surgeons, suggesting that it may eventually be a useful clinical support tool. © 2024 Arthroscopy Association of North America",II,Anton,"At least the way I read it - the data is simulated. Despite a good task this is exactly ""simulated clinical situations"".
Eunice's review confirmed scenarios are simulated per the paper. Thus for sure II; disagree with rater 1 (Vivian) who said it's real data.",
Large language model answers medical questions about standard pathology reports,"This study aims to evaluate the feasibility of large language model (LLM) in answering pathology questions based on pathology reports (PRs) of colorectal cancer (CRC). Four common questions (CQs) and corresponding answers about pathology were retrieved from public webpages. These questions were input as prompts for Chat Generative Pretrained Transformer (ChatGPT) (gpt-3.5-turbo). The quality indicators (understanding, scientificity, satisfaction) of all answers were evaluated by gastroenterologists. Standard PRs from 5 CRC patients who received radical surgeries in Shanghai Changzheng Hospital were selected. Six report questions (RQs) and corresponding answers were generated by a gastroenterologist and a pathologist. We developed an interactive PRs interpretation system which allows users to upload standard PRs as JPG images. Then the ChatGPT's responses to the RQs were generated. The quality indicators of all answers were evaluated by gastroenterologists and out-patients. As for CQs, gastroenterologists rated AI answers similarly to non-AI answers in understanding, scientificity, and satisfaction. As for RQ1-3, gastroenterologists and patients rated the AI mean scores higher than non-AI scores among the quality indicators. However, as for RQ4-6, gastroenterologists rated the AI mean scores lower than non-AI scores in understanding and satisfaction. In RQ4, gastroenterologists rated the AI scores lower than non-AI scores in scientificity (P = 0.011); patients rated the AI scores lower than non-AI scores in understanding (P = 0.004) and satisfaction (P = 0.011). In conclusion, LLM could generate credible answers to common pathology questions and conceptual questions on the PRs. It holds great potential in improving doctor-patient communication. Copyright © 2024 Wang, Zhou, Zhang, Cao, Xin, Xu and Zhou.",II,Anton,"Generally more of a report interpretation, so much closer to II than I. I could get behind an argument that this is like a consult to pathology asking to clarify something about a report and thus would be a real task, but gut feeling it is closer to II.",
Comparative Performance of Claude and GPT Models in Basic Radiological Imaging Tasks,"Background: Publicly available artificial intelligence (AI) Visual Language Models (VLMs) are constantly improving. The advent of vision capabilities on these models could enhance workflows in radiology. Evaluating their performance in radiological image interpretation is vital to their potential integration into practice. Aim: This study aims to evaluate the proficiency and consistency of the publicly available VLMs, Claude and GPT, across multiple iterations in basic image interpretation tasks. Method: Subsets from publicly available datasets, ROCOv2 and MURAv1.1, were used to evaluate 6 VLMs. A system prompt and image were inputted into each model thrice. The outputs were compared to the dataset captions to evaluate each model's accuracy in recognising the modality, anatomy, and detecting fractures on radiographs. The consistency of the output across iterations was also analysed. Results: Evaluation of the ROCOv2 dataset showed high accuracy in modality recognition, with some models achieving 100%. Anatomical recognition ranged between 61% and 85% accuracy across all models tested. On the MURAv1.1 dataset, Claude-3.5-Sonnet had the highest anatomical recognition with 57% accuracy, while GPT-4o had the best fracture detection with 62% accuracy. Claude-3.5-Sonnet was the most consistent model, with 83% and 92% consistency in anatomy and fracture detection, respectively. Conclusion: Given Claude and GPT's current accuracy and reliability, integration of these models into clinical settings is not yet feasible. This study highlights the need for ongoing development and establishment of standardised testing techniques to ensure these models achieve reliable performance.",II,Anton,The reviewer 2 also said it's II based on most criteria. Unsure what criteria Amelia is referring to.,
ChatGPT for Addressing Patient-centered Frequently Asked Questions in Glaucoma Clinical Practice,"I jumped through a lot of hoops and still was not able to obtain a full version of this article. Had to make a judgment call as the line between II and III is somewhat blurry here. If the questions were of the sort that a patient could ask - this is II, if they are more like exam-like questions this is a III. I concluded it is II as it just feels more the vibe if II (Likert score, etc.) I can see this being a judgement call.",II,Anton,In my conversation with Sully in Slack we concluded that a handful of patient-like questions is a II (vs a thousand of MC is a III). This appears to be doing patient conversation - II.,
"Comparison of the Audiological Knowledge of Three Chatbots: ChatGPT, Bing Chat, and Bard","Introduction: The purpose of this study was to evaluate three chatbots - OpenAI ChatGPT, Microsoft Bing Chat (currently Copilot), and Google Bard (currently Gemini) - in terms of their responses to a defined set of audiological questions. Methods: Each chatbot was presented with the same 10 questions. The authors rated the responses on a Likert scale ranging from 1 to 5. Additional features, such as the number of inaccuracies or errors and the provision of references, were also examined. Results: Most responses given by all three chatbots were rated as satisfactory or better. However, all chatbots generated at least a few errors or inaccuracies. ChatGPT achieved the highest overall score, while Bard was the worst. Bard was also the only chatbot unable to provide a response to one of the questions. ChatGPT was the only chatbot that did not provide information about its sources. Conclusions: Chatbots are an intriguing tool that can be used to access basic information in a specialized area like audiology. Nevertheless, one needs to be careful, as correct information is not infrequently mixed in with errors that are hard to pick up unless the user is well versed in the field. © 2024 S. Karger AG, Basel.",II,Anton,"I jumped through a lot of hoops and still was not able to obtain a full version of this article. Had to make a judgment call as the line between II and III is somewhat blurry here. If the questions were of the sort that a patient could ask - this is II, if they are more like exam-like questions this is a III. Given that there isnt a single mention of the source - I am going to conservatively say that this is III. Somewhat judgement call, but while unable to access it it's hard otherwise.",
Challenging the Chatbot: An Assessment of ChatGPT's Diagnoses and Recommendations for DBP Case Studies,"Objective:Chat Generative Pretrained Transformer-3.5 (ChatGPT) is a publicly available and free artificial intelligence chatbot that logs billions of visits per day; parents may rely on such tools for developmental and behavioral medical consultations. The objective of this study was to determine how ChatGPT evaluates developmental and behavioral pediatrics (DBP) case studies and makes recommendations and diagnoses.Methods:ChatGPT was asked to list treatment recommendations and a diagnosis for each of 97 DBP case studies. A panel of 3 DBP physicians evaluated ChatGPT's diagnostic accuracy and scored treatment recommendations on accuracy (5-point Likert scale) and completeness (3-point Likert scale). Physicians also assessed whether ChatGPT's treatment plan correctly addressed cultural and ethical issues for relevant cases. Scores were analyzed using Python, and descriptive statistics were computed.Results:The DBP panel agreed with ChatGPT's diagnosis for 66.2% of the case reports. The mean accuracy score of ChatGPT's treatment plan was deemed by physicians to be 4.6 (between entirely correct and more correct than incorrect), and the mean completeness was 2.6 (between complete and adequate). Physicians agreed that ChatGPT addressed relevant cultural issues in 10 out of the 11 appropriate cases and the ethical issues in the single ethical case.Conclusion:While ChatGPT can generate a comprehensive and adequate list of recommendations, the diagnosis accuracy rate is still low. Physicians must advise caution to patients when using such online sources. © 2024 Lippincott Williams and Wilkins. All rights reserved.",II,Anton,I do not see how this is prospective. ,
